Area,Ward,District,Area Latitude,Area Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Viet Village Restaurant,10.78867520630298,106.69936640899925,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Indika Saigon,10.791777778923265,106.69760510103762,Bar
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Cúcuta Coffee,10.789726325801542,106.6978164932415,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Hoang Yen,10.784544753056151,106.69616845886212,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Quán Nem,10.785831619341202,106.70085541658271,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,CCCP Saigon,10.792050964222305,106.69983565807341,Russian Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Cafe Trung Nguyên vòng xoay,10.792544174959458,106.69930586617883,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Novotel Saigon Centre,10.784316120827423,106.69588014391206,Hotel
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Côte d'Azur,10.788768806406251,106.70204256493713,French Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Bếp Nhà Xứ Quảng,10.784519433139277,106.69621582045845,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,B.O.C BBQ,10.791732142429915,106.69755580051485,BBQ Joint
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Rạn Biển Quán 3,10.785304687341643,106.69802542296371,Seafood Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Nomad Cafe,10.789485421656096,106.7014019262629,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Idecaf Tran Cao Van,10.784928884556615,106.69837532069337,Theater
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,An Nam Quán,10.790876633685,106.70094090302402,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Hi-End Nguyễn Đình Chiểu,10.788931120049078,106.70003088630098,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Chè Nam bộ,10.78781149227172,106.70021453525725,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Bunker Bed Breakfast Bar,10.790093155065236,106.69866743943545,Breakfast Spot
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Juicy,10.785933648759073,106.70095994868136,Juice Bar
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Hollys Coffee,10.784476305481816,106.69972528668201,Coffee Shop
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Pachi Pachi,10.787290363112186,106.69679371257787,BBQ Joint
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,La Phong Sushi House,10.784691503720659,106.69813478183929,Japanese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Thoai Vien Cafe,10.788664110940651,106.6981076069675,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Effoc.coffee,10.791265209536936,106.69536989468803,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Bonjour Resto,10.791931541990051,106.69921738079412,French Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Yoway,10.785684654238814,106.69503691942691,Frozen Yogurt Shop
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Nhà Hàng Món Quảng,10.78814714621674,106.69934220279774,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,McDonald's,10.792495450289135,106.69911240237569,Fast Food Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,GongCha Nguyễn Đình Chiểu,10.788282219738988,106.69943468858708,Bubble Tea Shop
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Petit four cafe,10.786653,106.699842,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,An Nhiên II Vegetarian Restaurant,10.788876854742771,106.69792585139334,Vegetarian / Vegan Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Ashima,10.785811841698996,106.69716643523061,Japanese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,le cottage,10.789934266592445,106.69618855374249,French Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Quan Cua Dong,10.785872304535795,106.70075111096006,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,The Sushi Bar 3,10.789424688599723,106.70032485420609,Sushi Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,the coffee factory,10.785119474658057,106.69903206540569,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Bánh nướng tổ ong (Waffle Place),10.790948006112874,106.69697793889407,Bakery
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Quán Gì Đó,10.787883,106.695387,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,HOPS Beer Garden,10.784988446530669,106.69637529737703,Beer Garden
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Bánh Cuốn Tây Hồ,10.79065,106.696999,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Gà Nướng Pháp,10.786088328481965,106.69442252166155,French Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,bánh mì 362 Trần Cao Vân,10.78391186,106.69742262,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Dáng Ngọc Sports Center,10.78736927899864,106.70092107007221,Gym / Fitness Center
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Nón Lá Restaurant,10.788911043927117,106.70052039800198,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,5Ku Station,10.785743823243909,106.69450527772499,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Phuc Long Coffee & Tea Express Nguyễn Thị Minh Khai,10.784471034685088,106.69974060463939,Café
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Al Fresco's,10.784754187968735,106.69946836191865,Diner
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Phở Cao Vân,10.78483510815948,106.69936546426007,Breakfast Spot
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Trà sữa Tiên Hưởng Đài Loan,10.785668446558454,106.70070644460306,Bubble Tea Shop
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,KOTO Saigon,10.789018,106.700584,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Bun Bo 31 Mac Dinh Chi,10.784931052902685,106.69929600732242,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Passio Nguyen Thi Minh Khai,10.785805301415374,106.70079102487236,Coffee Shop
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Cô Ba xứ Quảng,10.78444466677134,106.69611369732858,Vietnamese Restaurant
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Tous Les Jours,10.786043875792762,106.6942125823039,Bakery
"Phường Đa Kao, Quận 1",Phường Đa Kao,Quận 1,10.78839,106.69759,Bún Chả Hồ Tây,10.78426971579301,106.69738315936259,Vietnamese Restaurant
